GAME,RATIO,GAMERS,COMP %,AVERAGE TIME (h),RATING,ADDED,True_Achievement,Game_Score
ClusterTruck,3.9,89.829,2.2,9.0,3.1,2018-12-13,3905,1000
The Bard's Tale ARPG : Remastered and Resnarkled,1.89,23.738,22.0,2.5,3.1,2020-06-18,1894,1000
Wasteland Remastered,3.58,4.357,4.4,27.5,3.1,2020-02-25,3583,1000
ScreamRide,11.08,52.491,0.1,55.0,3.1,2019-12-16,11080,1000
Townscaper,1.13,66.402,65.1,0.25,3.0,2021-12-02,1125,1000
Into the Pit,1.58,1.71,24.0,11.0,3.0,2021-10-08,1577,1000
Exo One,5.84,33.58,0.6,9.0,3.0,2021-11-15,5840,1000
NHL 94 Rewind,2.12,22.264,12.5,2.5,3.0,2020-12-03,2117,1000
Nuclear Throne,22.28,12.261,0.0,,3.0,2021-09-09,22277,1000
Madden NFL 21 (Xbox One),2.39,44.754,2.4,11.0,3.0,2021-03-02,2387,1000
PAW Patrol: Mighty Pups Save Adventure Bay,1.48,30.023,28.4,3.5,3.0,2021-12-16,1483,1000
The Last Kids on Earth and the Staff of Doom,2.9,8.644,5.4,13.5,2.9,2022-02-10,2897,1000
Bejeweled 2,5.12,23.877,0.7,400.0,2.9,2020-11-09,1025,200
Goat Simulator,2.33,257.14,1.4,4.5,2.9,2019-12-16,5532,2375
The Good Life,8.06,8.295,0.5,70.0,2.9,2021-09-30,8060,1000
Kentucky Route Zero: TV Edition,2.63,6.563,9.2,9.0,2.9,2022-03-13,2632,1000
Space Warlord Organ Trading Simulator,1.46,15.794,22.0,2.5,2.9,2021-11-26,1465,1000
Power Rangers: Battle for the Grid,8.92,13.851,0.4,,2.9,2020-03-26,8923,1000
Bleeding Edge,2.08,60.306,13.0,9.0,2.9,2020-03-20,2085,1000
Feeding Frenzy,2.15,90.172,6.1,11.0,2.9,2020-11-09,430,200
Rush: A Disney Pixar Adventure,3.01,82.74,3.7,17.5,2.9,2019-12-16,3005,1000
Gang Beasts,1.96,135.527,9.3,1.5,2.9,2021-07-01,1960,1000
Worms Rumble,10.31,30.845,0.2,90.0,2.9,2021-06-23,10313,1000
Jetpac Refuelled,4.82,55.41,1.0,11.0,2.8,2020-10-21,965,200
Perfect Dark Zero,3.88,72.391,1.2,90.0,2.7,2019-12-16,3876,1000
Genesis Noir,1.58,13.45,11.6,3.5,2.7,2021-03-09,1908,1210
DEEEER Simulator: Your Average Everyday Deer Game,1.54,52.2,28.4,1.5,2.7,2021-11-23,1537,1000
Madden NFL 22,2.28,15.217,2.2,3.5,2.7,2022-02-17,2280,1000
I Am Fish,16.46,41.305,0.1,45.0,2.7,2021-09-16,16455,1000
Pupperazzi,1.88,13.821,15.9,3.5,2.6,2022-01-11,1882,1000
Totally Reliable Delivery Service,3.88,94.225,0.6,9.0,2.6,2020-04-01,3991,1030
Secret Neighbor,2.84,10.788,2.7,5.5,2.6,2019-12-16,2844,1000
Telling Lies,1.25,20.033,43.2,1.5,2.6,2022-02-03,1254,1000
Ben 10: Power Trip,3.09,21.515,3.2,13.5,2.6,2021-12-16,3093,1000
Madden NFL 22 (Xbox One),2.01,12.985,4.9,3.5,2.6,2022-02-17,2010,1000
DayZ,2.97,106.824,4.3,1.5,2.4,2020-05-07,2967,1000
Nongunz: Doppelganger Edition,7.97,6.584,1.0,27.5,2.4,2021-10-28,7968,1000
Dead Space: Ignition,1.69,25.65,22.3,3.5,2.3,2020-11-09,338,200
Library Of Ruina,21.53,14.668,0.0,,2.2,,21525,1000
SkateBIRD,4.96,46.013,2.8,7.0,2.2,2021-09-09,4962,1000
Crackdown 3: Wrecking Zone,2.37,17.076,6.9,7.0,2.2,2019-12-18,1184,500
Race with Ryan,1.6,18.928,27.9,3.5,2.1,2021-12-16,1602,1000
Surgeon Simulator 2,14.55,49.768,0.1,55.0,2.0,2021-09-02,14549,1000
NBA 2K22 (Xbox One),3.86,11.311,0.0,,3.4,2022-04-28,3861,1000
UNSIGHTED,6.19,3.684,0.5,,3.6,2021-09-10,6195,1000
Lemnis Gate,7.04,2.739,0.4,,3.3,2021-09-10,7041,1000
Dandy Ace,5.5,4.951,1.7,22.5,3.1,2021-09-28,5498,1000
Bassmaster Fishing 2022,10.72,9.425,0.0,,2.4,2021-10-09,14573,1360
Kraken Academy!!,1.8,2.36,17.3,7.0,3.4,2022-03-22,1803,1000
Mind Scanners,3.31,1.298,3.1,13.5,2.3,2021-11-30,3309,1000
ANVIL: Vault Breaker,4.7,7.405,0.7,110.0,3.6,2021-12-03,4703,1000
Unsouled,37.18,4.302,0.0,,3.1,2022-04-28,37178,1000
Fae Tactics,2.65,166.0,0.0,,3.0,2021-11-18,2653,1000
Undungeon,5.6,386.0,0.0,,2.5,2021-11-19,5599,1000
Cricket 22,3.91,4.411,1.2,13.5,3.4,2022-04-05,3912,1000
Next Space Rebels,6.3,8.091,0.3,,3.2,2021-11-17,6296,1000
One Step From Eden,3.88,1.489,1.1,45.0,3.7,2021-11-11,3882,1000
The Dungeon of Naheulbeuk: The Amulet of Chaos - Chicken Edition,7.64,4.273,0.1,,4.1,2022-03-17,9012,1180
Signs of the Sojourner,3.41,1.065,2.9,17.5,2.6,2021-09-02,3406,1000
DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition (JP),1.61,730.0,26.7,90.0,4.6,2020-12-05,1611,1000
Chinatown Detective Agency,2.37,738.0,0.0,,2.6,2022-04-07,2369,1000
RESEARCH and DESTROY,13.46,6.162,0.1,,3.1,2022-04-26,13461,1000
Loot River,7.86,334.0,0.0,,3.2,2022-05-02,7859,1000
Zero Escape: The Nonary Games,1.69,1.25,25.9,45.0,4.2,2022-03-22,1689,1000
Paradise Killer,1.57,1.25,18.0,13.5,4.2,2022-03-17,1565,1000
Crusader Kings III,16.36,11.456,0.0,,3.8,2022-03-14,16365,1000
Galactic Civilizations III (Windows),6.51,348.0,0.0,,3.1,2022-03-16,9565,1470
Dragon Ball FighterZ (Windows),6.18,1.436,0.4,,3.9,2022-03-16,6176,1000
Phoenix Point,13.87,7.388,0.0,,3.6,2021-10-01,13869,1000
Super Mega Baseball 3,7.96,9.309,0.1,70.0,3.8,2022-03-03,7957,1000
Immortal Realms: Vampire Wars,4.76,5.618,0.9,70.0,3.5,2021-07-01,4761,1000
Transformers: Battlegrounds,2.4,1.733,1.0,17.5,3.1,2021-12-16,2873,1195
The Catch: Carp Coarse Fishing,11.7,8.084,0.0,,2.7,2021-05-18,13455,1150
Atomicrops,2.9,1.853,1.9,,4.5,2021-07-22,5374,1850
Lethal League Blaze,3.91,4.509,1.6,17.5,3.6,2021-07-29,3905,1000
The Evil Within (JP),1.61,388.0,12.1,,3.8,2021-08-16,2787,1735
Shadowrun Returns,2.92,0.0,0.0,,,2022-04-20,1000,1000
Shadowrun: Hong Kong - Extended Edition,2.92,0.0,0.0,,,2022-04-20,1000,1000
Shadowrun: Dragonfall - Director's Cut,2.92,0.0,0.0,,,2022-04-20,1000,1000
