GAME,RATIO,GAMERS,COMP %,AVERAGE TIME (h),RATING,ADDED,True_Achievement,Game_Score
The Elder Scrolls Online,5.01,204.295,0.0,1000.0,3.9,2020-10-18,27463,5480
GreedFall,3.52,37.265,0.5,70.0,3.9,2020-12-01,3876,1100
Cities: Skylines,4.67,108.817,0.1,175.0,3.8,2020-10-21,11208,2400
Grounded,3.44,61.345,1.1,1.5,3.8,2021-06-30,4813,1400
Battlefield: Bad Company,2.41,161.849,0.6,175.0,3.8,2020-11-09,2414,1000
Lost Words: Beyond the Page,1.49,11.079,25.9,5.5,3.8,2021-09-23,1485,1000
The Artful Escape,1.23,33.785,42.5,3.5,3.8,2021-09-06,1234,1000
Peggle,3.79,165.096,0.6,45.0,3.8,2020-11-09,948,250
DiRT 4,3.95,79.596,1.0,70.0,3.8,2021-08-10,3954,1000
Destroy All Humans!,2.32,106.146,5.3,13.5,3.8,2021-04-29,2323,1000
Alan Wake's American Nightmare,2.3,52.25,6.6,9.0,3.8,2021-10-28,460,200
Dante's Inferno,1.86,169.302,0.9,17.5,3.8,2020-11-09,2401,1290
Dreamscaper,5.26,8.971,1.4,45.0,3.8,2022-02-03,5264,1000
Final Fantasy XIII,2.53,134.351,4.9,90.0,3.8,2021-09-01,2530,1000
The Pedestrian,1.49,28.084,33.9,3.5,3.8,2022-01-04,1495,1000
RAGE,2.36,143.127,1.3,22.5,3.8,2021-06-13,2945,1250
Fable III,1.85,325.399,2.8,27.5,3.8,2019-12-16,2319,1250
Katamari Damacy Reroll,3.51,33.433,1.3,22.5,3.8,2021-08-05,3513,1000
Star Wars Battlefront II,2.15,228.476,1.7,70.0,3.8,2020-11-09,2247,1045
Mirror's Edge,3.04,215.161,0.6,27.5,3.8,2020-11-09,3805,1250
Crysis 2,2.56,151.209,1.7,55.0,3.8,2020-11-09,2557,1000
Perfect Dark (Xbox 360),3.33,85.926,0.8,55.0,3.8,2021-09-06,667,200
Max: The Curse of Brotherhood,1.8,167.987,15.5,9.0,3.8,2018-12-13,1795,1000
Weird West,4.91,28.059,0.8,37.5,3.8,2022-01-12,4907,1000
Train Sim World 2,6.98,17.494,0.0,,3.8,2021-08-19,35854,5135
